experience_level,job_title,salary_in_usd,employee_residence,company_location,company_size
MI,Data Analyst,100000,US,US,M
MI,Data Analyst,85000,US,US,M
MI,Data Engineer,85066,GB,GB,M
MI,Data Engineer,57723,GB,GB,M
EX,Data Scientist,200000,US,US,M
EX,Data Scientist,145000,US,US,M
MI,Data Engineer,140000,US,US,M
MI,Data Engineer,95000,US,US,M
SE,Data Analyst,185000,US,US,M
SE,Data Analyst,120250,US,US,M
MI,Financial Data Analyst,130000,US,US,L
SE,Data Scientist,205000,US,US,M
SE,Data Scientist,140000,US,US,M
SE,Data Scientist,297300,US,US,M
SE,Data Scientist,198200,US,US,M
SE,Research Scientist,141288,US,US,M
SE,Research Scientist,94192,US,US,M
SE,Data Infrastructure Engineer,184000,US,US,M
SE,Data Infrastructure Engineer,143000,US,US,M
SE,Data Analyst,70000,US,US,M
SE,Data Analyst,55000,US,US,M
SE,Analytics Engineer,275300,US,US,M
SE,Analytics Engineer,183500,US,US,M
MI,Data Analyst,75000,US,US,M
MI,Data Analyst,65000,US,US,M
MI,ML Engineer,160000,US,US,M
MI,ML Engineer,147000,US,US,M
SE,Data Architect,149040,US,US,M
SE,Data Architect,113900,US,US,M
MI,Software Data Engineer,75020,SG,SG,L
SE,Data Analyst,180180,US,US,M
SE,Data Analyst,106020,US,US,M
MI,Data Scientist,17022,IN,IN,L
EN,AI Programmer,70000,IN,AU,L
EN,AI Developer,80000,SE,SE,M
MI,Lead Data Analyst,18238,IN,IN,L
MI,Machine Learning Engineer,250000,US,US,M
MI,Machine Learning Engineer,150000,US,US,M
SE,Data Engineer,139500,US,US,M
SE,Data Engineer,109400,US,US,M
SE,Data Scientist,105000,US,US,M
SE,Data Scientist,70000,US,US,M
EX,Data Engineer,210914,US,US,M
EX,Data Engineer,116704,US,US,M
EN,Research Scientist,150000,US,US,M
EN,Research Scientist,100000,US,US,M
SE,Data Engineer,146000,US,US,M
SE,Data Engineer,75000,US,US,M
EN,Data Analyst,75000,US,US,M
EN,Data Analyst,60000,US,US,M
MI,Analytics Engineer,185700,US,US,M
MI,Analytics Engineer,165000,US,US,M
SE,Data Engineer,160000,US,US,M
SE,Data Engineer,130000,US,US,M
SE,Data Analyst,169000,US,US,M
SE,Data Analyst,110600,US,US,M
SE,Data Operations Engineer,193000,US,US,M
SE,Data Operations Engineer,136850,US,US,M
SE,Machine Learning Engineer,139500,US,US,M
SE,Machine Learning Engineer,109400,US,US,M
SE,Data Engineer,276000,US,US,M
SE,Data Engineer,178500,US,US,M
MI,Data Scientist,59020,ES,ES,M
MI,Data Scientist,48289,ES,ES,M
MI,Data Engineer,75116,SI,SI,M
MI,Data Engineer,48289,SI,SI,M
SE,Machine Learning Engineer,195652,GB,GB,M
SE,Machine Learning Engineer,101228,GB,GB,M
SE,Data Engineer,136956,GB,GB,M
SE,Data Engineer,101228,GB,GB,M
SE,Data Engineer,252000,US,US,M
SE,Data Engineer,129000,US,US,M
SE,BI Developer,130000,US,US,L
MI,Data Science Lead,150000,US,US,M
SE,Data Engineer,163800,US,US,M
SE,Data Engineer,126000,US,US,M
SE,ML Engineer,260000,CA,CA,M
SE,ML Engineer,110000,CA,CA,M
SE,Analytics Engineer,170000,US,US,M
SE,Analytics Engineer,130000,US,US,M
SE,Machine Learning Engineer,247500,US,US,M
SE,Machine Learning Engineer,172200,US,US,M
SE,Data Scientist,239748,US,US,M
SE,Data Scientist,159832,US,US,M
SE,Machine Learning Engineer,163800,US,US,M
SE,Machine Learning Engineer,126000,US,US,M
MI,Data Scientist,128750,US,US,M
MI,Data Scientist,106250,US,US,M
SE,Data Engineer,252000,US,US,M
SE,Data Engineer,129000,US,US,M
SE,Data Science Manager,299500,US,US,M
SE,Data Science Manager,245100,US,US,M
MI,Data Analytics Manager,155000,US,US,M
MI,Data Analytics Manager,140000,US,US,M
EX,Data Engineer,167500,US,US,M
EX,Data Engineer,106500,US,US,M
SE,Data Architect,188500,US,US,M
SE,Data Architect,117000,US,US,M
SE,Data Analyst,250000,US,US,M
SE,Data Analyst,138000,US,US,M
MI,Data Analyst,130000,CA,CA,M
MI,Data Analyst,100000,CA,CA,M
SE,Deep Learning Researcher,123405,DE,DE,L
SE,Data Engineer,140000,US,US,M
SE,Data Engineer,120000,US,US,M
SE,BI Analyst,160000,US,US,M
SE,BI Analyst,135000,US,US,M
MI,Data Science Manager,104500,US,US,M
MI,Data Science Manager,70000,US,US,M
MI,Data Science Consultant,90000,US,US,M
MI,Data Science Consultant,70000,US,US,M
SE,Data Engineer,153600,US,US,M
SE,Data Engineer,106800,US,US,M
EN,Data Engineer,125000,US,US,M
EN,Data Engineer,90000,US,US,M
MI,Research Scientist,185000,US,US,M
MI,Research Scientist,125000,US,US,M
SE,Data Analyst,127000,US,US,M
SE,Data Analyst,94000,US,US,M
SE,Data Scientist,210550,US,US,M
SE,Data Scientist,153300,US,US,M
MI,Data Scientist,200000,US,US,M
MI,Data Scientist,150000,US,US,M
SE,Data Analyst,161500,US,US,M
SE,Data Analyst,119500,US,US,M
SE,Data Analyst,175000,US,US,M
SE,Data Analyst,145000,US,US,M
SE,Data Scientist,175000,US,US,M
SE,Data Scientist,148750,US,US,M
SE,Data Analytics Specialist,105000,US,US,M
SE,Data Analytics Specialist,85000,US,US,M
SE,Research Scientist,215000,US,US,M
SE,Research Scientist,146300,US,US,M
EN,AI Developer,214618,DE,DE,L
MI,Data Engineer,72000,MX,MX,M
MI,Data Engineer,60000,MX,MX,M
SE,Machine Learning Engineer,153400,US,US,M
SE,Machine Learning Engineer,122700,US,US,M
MI,Data Engineer,260000,US,US,M
MI,Data Engineer,175000,US,US,M
SE,Data Scientist,186300,US,US,M
SE,Data Scientist,123900,US,US,M
MI,Research Scientist,340000,US,US,M
MI,Research Scientist,150000,US,US,M
SE,Machine Learning Engineer,153400,US,US,M
SE,Machine Learning Engineer,122700,US,US,M
MI,Data Engineer,250000,US,US,M
MI,Data Engineer,175000,US,US,M
MI,Data Scientist,64385,FR,FR,M
SE,Data Analyst,185900,US,US,M
SE,Data Analyst,121700,US,US,M
SE,Data Analyst,153600,US,US,M
SE,Data Analyst,106800,US,US,M
SE,Software Data Engineer,50000,NG,AU,M
EN,Data Analyst,100000,UZ,US,L
SE,Machine Learning Engineer,247500,US,US,M
SE,Machine Learning Engineer,172200,US,US,M
EX,Data Engineer,310000,US,US,M
EX,Data Engineer,239000,US,US,M
SE,Data Analyst,125000,US,US,M
SE,Data Analyst,110000,US,US,M
EN,Data Analyst,150000,US,US,M
EN,Data Analyst,100000,US,US,M
SE,Data Scientist,149076,US,US,M
SE,Data Scientist,82365,US,US,M
MI,Data Engineer,146000,US,US,M
MI,Data Engineer,75000,US,US,M
SE,Machine Learning Engineer,139500,US,US,M
SE,Machine Learning Engineer,109400,US,US,M
SE,Data Engineer,139500,US,US,M
SE,Data Engineer,109400,US,US,M
MI,Data Engineer,149600,US,US,M
MI,Data Engineer,102000,US,US,M
MI,Data Analyst,97218,GB,GB,M
MI,Data Analyst,48609,GB,GB,M
SE,Data Engineer,252000,US,US,M
SE,Data Engineer,129000,US,US,M
SE,Data Analyst,95000,US,US,M
SE,Data Analyst,85500,US,US,M
SE,Data Analyst,185900,US,US,M
SE,Data Analyst,121700,US,US,M
EN,Research Scientist,150000,US,US,M
EN,Research Scientist,100000,US,US,M
MI,Data Engineer,145000,US,US,M
MI,Data Engineer,125000,US,US,M
MI,Data Scientist,150000,US,US,M
MI,Data Scientist,97750,US,US,M
SE,Data Scientist,201000,US,US,M
SE,Data Scientist,122000,US,US,M
SE,Data Engineer,252000,US,US,M
SE,Data Engineer,129000,US,US,M
SE,Data Analyst,120000,US,US,M
SE,Data Analyst,75000,US,US,M
MI,Data Scientist,116990,US,US,M
MI,Data Scientist,82920,US,US,M
SE,Data Scientist,185900,US,US,M
SE,Data Scientist,129300,US,US,M
MI,Machine Learning Scientist,200000,US,US,S
MI,Machine Learning Scientist,125000,US,US,S
SE,Data Scientist,201000,US,US,M
SE,Data Scientist,122000,US,US,M
SE,Machine Learning Engineer,204500,US,US,M
SE,Machine Learning Engineer,142200,US,US,M
SE,Data Manager,155000,US,US,M
SE,Data Manager,140000,US,US,M
MI,Machine Learning Infrastructure Engineer,205920,US,US,M
MI,Machine Learning Infrastructure Engineer,171600,US,US,M
SE,Data Engineer,121500,US,US,M
SE,Data Engineer,78000,US,US,M
MI,Data Engineer,154000,US,US,M
MI,Data Engineer,116000,US,US,M
SE,Data Scientist,190000,US,US,M
SE,Data Scientist,136000,US,US,M
MI,Data Analyst,78990,GB,GB,M
MI,Data Analyst,43809,GB,GB,M
SE,Data Analyst,180000,US,US,M
SE,Data Analyst,110000,US,US,M
SE,Data Scientist,275300,US,US,M
SE,Data Scientist,183000,US,US,M
SE,Data Engineer,170000,US,US,M
SE,Data Engineer,140000,US,US,M
SE,Data Engineer,154000,US,US,M
SE,Data Engineer,116000,US,US,M
SE,Data Engineer,160000,US,US,M
SE,Data Engineer,130000,US,US,M
MI,Data Engineer,200000,US,US,M
MI,Data Engineer,120000,US,US,M
SE,Data Scientist,175000,US,US,M
SE,Data Scientist,160000,US,US,M
MI,Data Engineer,127599,GB,GB,M
MI,Data Engineer,103294,GB,GB,M
SE,Data Engineer,153600,US,US,M
SE,Data Engineer,106800,US,US,M
EN,Data Analyst,85000,US,US,M
EN,Data Analyst,75000,US,US,M
SE,Data Scientist,225000,US,US,M
SE,Data Scientist,156400,US,US,M
SE,Analytics Engineer,150000,US,US,M
SE,Analytics Engineer,120000,US,US,M
SE,Machine Learning Engineer,163800,US,US,M
SE,Machine Learning Engineer,126000,US,US,M
SE,Data Analyst,145000,US,US,M
SE,Data Analyst,90000,US,US,M
SE,Machine Learning Engineer,204500,US,US,M
SE,Machine Learning Engineer,142200,US,US,M
SE,Data Analyst,95000,US,US,M
SE,Data Analyst,85500,US,US,M
SE,Data Engineer,167500,US,US,M
SE,Data Engineer,106500,US,US,M
SE,Data Engineer,163800,US,US,M
SE,Data Engineer,126000,US,US,M
MI,Data Analytics Manager,155000,US,US,M
MI,Data Analytics Manager,140000,US,US,M
SE,Research Scientist,250000,US,US,M
SE,Research Scientist,200000,US,US,M
SE,Data Scientist,260000,US,US,M
SE,Data Scientist,186000,US,US,M
SE,Data Engineer,160000,US,US,M
SE,Data Engineer,130000,US,US,M
SE,Research Scientist,200000,US,US,M
SE,Research Scientist,150000,US,US,M
SE,Data Scientist,48289,ES,ES,M
SE,Data Scientist,38631,ES,ES,M
SE,Data Scientist,150000,US,US,M
SE,Data Scientist,120000,US,US,M
EN,Data Analyst,30000,IN,IN,M
MI,Research Scientist,185000,US,US,M
MI,Research Scientist,125000,US,US,M
EN,Data Analyst,34320,US,US,S
MI,Business Data Analyst,9289,BR,BR,M
SE,Head of Data,75116,PT,PT,L
EX,Data Science Manager,106000,UZ,RU,L
SE,Data Analyst,175000,US,US,M
SE,Data Analyst,130000,US,US,M
SE,Data Analyst,122000,US,US,M
SE,Data Analyst,93800,US,US,M
SE,Data Science Manager,150000,MX,MX,M
SE,Data Science Manager,90000,MX,MX,M
SE,Data Analyst,165000,US,US,M
SE,Data Analyst,112000,US,US,M
EN,Computer Vision Engineer,220000,US,US,M
SE,BI Data Analyst,71897,DE,DE,M
EN,AI Developer,64385,DE,DE,M
SE,Machine Learning Engineer,204500,US,US,M
SE,Machine Learning Engineer,142200,US,US,M
SE,Data Analyst,15806,IN,IN,S
MI,Machine Learning Engineer,200000,US,US,M
MI,Machine Learning Engineer,175000,US,US,M
SE,Data Engineer,185900,US,US,M
SE,Data Engineer,129300,US,US,M
SE,Data Analyst,185900,US,US,M
SE,Data Analyst,121700,US,US,M
SE,Machine Learning Engineer,204500,US,US,M
SE,Machine Learning Engineer,142200,US,US,M
MI,Data Scientist,40000,FR,FR,L
SE,Data Science Consultant,29453,TH,TH,M
SE,Data Analyst,180180,US,US,M
SE,Data Analyst,106020,US,US,M
SE,Data Scientist,136000,US,US,M
SE,Data Scientist,104000,US,US,M
SE,Data Analyst,125000,US,US,M
SE,Data Analyst,110000,US,US,M
SE,Machine Learning Engineer,153400,US,US,M
SE,Machine Learning Engineer,122700,US,US,M
EX,Data Engineer,310000,US,US,M
EX,Data Engineer,239000,US,US,M
SE,Data Analyst,152380,US,US,M
SE,Data Analyst,121904,US,US,M
SE,Data Scientist,185900,US,US,M
SE,Data Scientist,129300,US,US,M
SE,Machine Learning Engineer,247500,US,US,M
SE,Machine Learning Engineer,172200,US,US,M
SE,Data Architect,168400,US,US,M
SE,Data Architect,105200,US,US,M
SE,Machine Learning Engineer,128280,US,US,M
SE,Machine Learning Engineer,106900,US,US,M
SE,Lead Data Scientist,192000,US,US,L
MI,Data Engineer,140000,US,US,M
MI,Data Engineer,100000,US,US,M
SE,Research Engineer,107309,DE,DE,S
SE,Research Engineer,85847,DE,DE,S
SE,Machine Learning Engineer,275000,DE,DE,M
SE,Machine Learning Engineer,174000,DE,DE,M
SE,Data Engineer,139500,US,US,M
SE,Data Engineer,109400,US,US,M
SE,Machine Learning Engineer,139500,US,US,M
SE,Machine Learning Engineer,109400,US,US,M
SE,Data Analyst,170500,US,US,M
SE,Data Analyst,85000,US,US,M
SE,Data Manager,72946,GB,GB,M
SE,Data Manager,54365,GB,GB,M
EX,Head of Data Science,160288,GB,GB,M
EX,Head of Data Science,127467,GB,GB,M
SE,Data Engineer,80000,US,US,M
SE,Data Engineer,65000,US,US,M
SE,Data Engineer,124740,US,US,M
SE,Data Engineer,65488,US,US,M
SE,Data Quality Analyst,72200,US,US,M
SE,Data Quality Analyst,64980,US,US,M
SE,Data Engineer,153600,US,US,M
SE,Data Engineer,106800,US,US,M
SE,Data Analyst,179975,US,US,M
SE,Data Analyst,86466,US,US,M
SE,Data Engineer,120000,US,US,M
SE,Data Engineer,90000,US,US,M
MI,Insight Analyst,51039,GB,GB,M
MI,Insight Analyst,42533,GB,GB,M
SE,Data Scientist,149076,US,US,M
SE,Data Scientist,82365,US,US,M
SE,Data Analyst,169000,US,US,M
SE,Data Analyst,110600,US,US,M
SE,Data Science Manager,175000,US,US,M
SE,Data Science Manager,120000,US,US,M
SE,Data Analyst,230000,US,US,M
SE,Data Analyst,180000,US,US,M
SE,Data Analyst,153600,US,US,M
SE,Data Analyst,106800,US,US,M
SE,Data Manager,140000,US,US,M
SE,Data Manager,120000,US,US,M
SE,Machine Learning Infrastructure Engineer,205920,US,US,M
SE,Machine Learning Infrastructure Engineer,171600,US,US,M
SE,Data Analyst,165000,US,US,M
SE,Data Analyst,125000,US,US,M
SE,Data Engineer,265000,US,US,M
SE,Data Engineer,185000,US,US,M
MI,Applied Machine Learning Engineer,130000,US,US,M
EN,Data Scientist,168000,US,US,M
MI,AI Scientist,38631,ES,ES,L
SE,Data Analyst,95000,US,US,M
SE,Data Analyst,85500,US,US,M
SE,Data Scientist,147100,US,US,M
SE,Data Scientist,90700,US,US,M
SE,Data Engineer,167580,US,US,M
SE,Data Engineer,87980,US,US,M
SE,Data Engineer,202000,US,US,M
SE,Data Engineer,135000,US,US,M
SE,Data Engineer,163800,US,US,M
SE,Data Engineer,126000,US,US,M
SE,Machine Learning Engineer,163800,US,US,M
SE,Machine Learning Engineer,126000,US,US,M
SE,Data Engineer,104000,US,US,M
SE,Data Engineer,65000,US,US,M
SE,Research Engineer,230000,US,US,M
SE,Research Engineer,148000,US,US,M
SE,Machine Learning Engineer,269000,CA,CA,M
SE,Machine Learning Engineer,158000,CA,CA,M
SE,Analytics Engineer,197000,US,US,M
SE,Analytics Engineer,106000,US,US,M
MI,Deep Learning Engineer,150000,US,US,M
MI,Deep Learning Engineer,100000,US,US,M
SE,Data Engineer,290000,US,US,M
SE,Data Engineer,210000,US,US,M
SE,Data Engineer,192000,US,US,M
SE,Data Engineer,172800,US,US,M
SE,Data Scientist,300240,US,US,M
SE,Data Scientist,200160,US,US,M
SE,Data Scientist,300240,US,US,M
SE,Data Scientist,200160,US,US,M
SE,Analytics Engineer,175000,US,US,M
SE,Analytics Engineer,140000,US,US,M
SE,Data Manager,169000,US,US,M
SE,Data Manager,100000,US,US,M
SE,Data Scientist,370000,US,US,M
SE,Data Scientist,245000,US,US,M
MI,Data Engineer,115447,GB,GB,L
SE,Data Analyst,110000,US,US,S
SE,Data Analyst,80000,US,US,S
EN,Data Analyst,55000,US,US,M
EN,Data Analyst,48000,US,US,M
SE,Data Analyst,95000,US,US,M
SE,Data Analyst,85000,US,US,M
SE,Data Engineer,137500,US,US,M
SE,Data Engineer,81500,US,US,M
SE,Machine Learning Engineer,323300,US,US,M
SE,Machine Learning Engineer,184700,US,US,M
MI,AI Scientist,30000,GH,GH,S
SE,Machine Learning Engineer,186000,US,US,M
SE,Machine Learning Engineer,153088,US,US,M
MI,Data Infrastructure Engineer,190000,US,US,M
MI,Data Infrastructure Engineer,160000,US,US,M
SE,Machine Learning Engineer,200000,US,US,M
SE,Machine Learning Engineer,150000,US,US,M
MI,Data Infrastructure Engineer,190000,US,US,M
MI,Data Infrastructure Engineer,183310,US,US,M
SE,Machine Learning Engineer,240000,US,US,M
SE,Machine Learning Engineer,180000,US,US,M
SE,Machine Learning Engineer,200000,US,US,M
SE,Machine Learning Engineer,150000,US,US,M
SE,Data Science Manager,299500,US,US,M
SE,Data Science Manager,245100,US,US,M
SE,Data Engineer,144000,US,US,M
SE,Data Engineer,66000,US,US,M
MI,Machine Learning Engineer,148500,US,US,M
MI,Machine Learning Engineer,126277,US,US,M
SE,Data Architect,228000,US,US,M
SE,Data Architect,120000,US,US,M
SE,Machine Learning Software Engineer,180000,US,US,M
SE,Machine Learning Software Engineer,90000,US,US,M
SE,Data Scientist,126500,US,US,M
SE,Data Scientist,78000,US,US,M
SE,Data Engineer,180000,US,US,M
SE,Data Engineer,160000,US,US,M
SE,Machine Learning Software Engineer,272000,US,US,M
SE,Machine Learning Software Engineer,170000,US,US,M
MI,Data Analyst,80000,US,US,M
MI,Data Analyst,60000,US,US,M
SE,Data Engineer,259000,US,US,M
SE,Data Engineer,146000,US,US,M
SE,Data Engineer,200000,US,US,M
SE,Data Engineer,160000,US,US,M
EX,Data Engineer,310000,US,US,M
EX,Data Engineer,239000,US,US,M
SE,Data Analyst,142000,US,US,M
SE,Data Analyst,95000,US,US,M
SE,Data Scientist,155000,US,US,M
SE,Data Scientist,139500,US,US,M
MI,Data Engineer,140000,US,US,M
MI,Data Engineer,120000,US,US,M
SE,Data Engineer,259000,US,US,M
SE,Data Engineer,146000,US,US,M
MI,Data Analyst,109371,HR,HR,M
MI,Data Analyst,72914,HR,HR,M
EN,Data Analyst,17779,PL,IN,L
EN,Data Scientist,19522,BR,BR,L
SE,Data Science Lead,247500,US,US,M
SE,Data Science Lead,172200,US,US,M
SE,Data Scientist,225000,US,US,M
SE,Data Scientist,156400,US,US,M
SE,Data Engineer,139500,US,US,M
SE,Data Engineer,109400,US,US,M
MI,Data Engineer,125000,US,US,M
MI,Data Engineer,90000,US,US,M
SE,Machine Learning Infrastructure Engineer,107309,FR,FR,M
SE,Machine Learning Infrastructure Engineer,75116,FR,FR,M
SE,Data Scientist,185900,US,US,M
SE,Data Scientist,129300,US,US,M
SE,Machine Learning Engineer,139500,US,US,M
SE,Machine Learning Engineer,109400,US,US,M
SE,Data Analyst,120000,US,US,M
SE,Data Analyst,75000,US,US,M
SE,Data Analyst,169000,US,US,M
SE,Data Analyst,110600,US,US,M
SE,Machine Learning Engineer,288000,US,US,M
SE,Machine Learning Engineer,140000,US,US,M
SE,Machine Learning Engineer,288000,US,US,M
SE,Machine Learning Engineer,140000,US,US,M
MI,Data Engineer,120000,US,US,M
MI,Data Engineer,90000,US,US,M
MI,Data Science Lead,72914,GB,GB,M
MI,Data Science Lead,60761,GB,GB,M
SE,Data Scientist,215050,US,US,M
SE,Data Scientist,156400,US,US,M
SE,Data Architect,198000,US,US,M
SE,Data Architect,114000,US,US,M
EN,Data Analyst,75000,US,US,M
EN,Data Analyst,60000,US,US,M
SE,Machine Learning Engineer,204500,US,US,M
SE,Machine Learning Engineer,142200,US,US,M
SE,Data Scientist,209300,US,US,M
SE,Data Scientist,182200,US,US,M
SE,Data Manager,140000,US,US,M
SE,Data Manager,120000,US,US,M
EN,Data Scientist,85000,US,US,M
MI,Machine Learning Engineer,48609,GB,GB,M
EN,Research Engineer,120000,GB,GB,M
EN,Research Engineer,60000,GB,GB,M
SE,Machine Learning Engineer,147100,US,US,M
SE,Machine Learning Engineer,90700,US,US,M
SE,Data Engineer,230000,US,US,M
SE,Data Engineer,170000,US,US,M
SE,Data Analyst,227000,US,US,M
SE,Data Analyst,108000,US,US,M
SE,Data Engineer,180000,US,US,M
SE,Data Engineer,160000,US,US,M
SE,Data Architect,180000,US,US,M
SE,Data Architect,160000,US,US,M
SE,Data Engineer,180000,US,US,M
SE,Data Engineer,130000,US,US,M
SE,Data Analyst,55800,ES,ES,M
SE,Data Analyst,51508,ES,ES,M
EN,Data Analyst,60000,US,US,L
EN,Data Analyst,50000,KW,US,L
SE,Data Engineer,226700,US,US,M
SE,Data Engineer,133300,US,US,M
SE,Data Engineer,252000,US,US,M
SE,Data Engineer,129000,US,US,M
SE,Big Data Architect,151902,GB,GB,L
EN,Data Scientist,9727,IN,IN,L
SE,Data Analyst,80000,US,US,M
SE,Data Analyst,52500,US,US,M
SE,Data Engineer,250000,US,US,M
SE,Data Engineer,162500,US,US,M
EN,Data Analyst,85000,US,US,M
EN,Data Analyst,75000,US,US,M
SE,Data Analyst,153600,US,US,M
SE,Data Analyst,106800,US,US,M
MI,Data Analyst,165000,US,US,M
MI,Data Analyst,124000,US,US,M
SE,Data Analyst,115934,US,US,M
SE,Data Analyst,81666,US,US,M
SE,Data Engineer,167580,US,US,M
SE,Data Engineer,87980,US,US,M
SE,Data Engineer,250000,US,US,M
SE,Data Engineer,63000,US,US,M
SE,Research Scientist,253750,ES,ES,M
SE,Research Scientist,169200,ES,ES,M
SE,Research Scientist,253750,ES,ES,M
SE,Research Scientist,169200,ES,ES,M
MI,Data Scientist,170000,US,US,M
MI,Data Scientist,120000,US,US,M
SE,Data Engineer,124740,US,US,M
SE,Data Engineer,65488,US,US,M
SE,Data Engineer,213580,US,US,M
SE,Data Engineer,163625,US,US,M
EN,Data Engineer,12000,VN,VN,L
SE,Machine Learning Software Engineer,375000,US,US,M
SE,Data Engineer,101943,IE,IE,M
MI,Product Data Analyst,16414,IN,IN,L
SE,Machine Learning Engineer,220000,US,US,M
SE,Machine Learning Engineer,170000,US,US,M
EX,Data Engineer,235000,US,US,M
EX,Data Engineer,210000,US,US,M
SE,Data Architect,180000,US,US,M
SE,Data Architect,115000,US,US,M
SE,Data Architect,200000,US,US,M
SE,Data Architect,115000,US,US,M
SE,Data Science Manager,231250,US,US,M
SE,Data Science Manager,138750,US,US,M
SE,Machine Learning Engineer,284310,US,US,M
SE,Machine Learning Engineer,153090,US,US,M
SE,Data Engineer,160000,US,US,M
SE,Data Engineer,75000,US,US,M
MI,Data Analyst,125000,US,US,M
MI,Data Analyst,105000,US,US,M
MI,Data Analyst,109371,GB,GB,M
MI,Data Analyst,85066,GB,GB,M
EN,Data Analyst,55000,US,US,M
EN,Data Analyst,48000,US,US,M
EN,Data Analyst,100000,US,US,M
SE,Data Science Lead,225900,US,US,M
SE,Data Science Lead,156400,US,US,M
SE,Data Engineer,250000,US,US,M
SE,Data Engineer,162500,US,US,M
SE,Machine Learning Engineer,318300,US,US,M
SE,Machine Learning Engineer,188800,US,US,M
SE,Data Analyst,385000,US,US,M
SE,Data Analyst,60000,US,US,M
MI,Data Analyst,110000,US,US,M
MI,Data Analyst,95000,US,US,M
SE,Data Scientist,145000,US,US,M
SE,Data Scientist,135000,US,US,M
SE,Data Analyst,180180,US,US,M
SE,Data Analyst,106020,US,US,M
SE,Data Analyst,93919,US,US,M
SE,Data Analyst,51962,US,US,M
SE,Data Engineer,241871,US,US,M
SE,Data Engineer,133832,US,US,M
SE,Data Scientist,170000,US,US,M
SE,Data Scientist,90000,US,US,M
EX,Data Engineer,210914,US,US,M
EX,Data Engineer,116704,US,US,M
SE,Data Analyst,192500,US,US,M
SE,Data Analyst,140000,US,US,M
SE,Data Scientist,149076,US,US,M
SE,Data Scientist,82365,US,US,M
MI,Machine Learning Engineer,36000,MX,MX,S
SE,Data Scientist,175000,US,US,M
SE,Data Scientist,148750,US,US,M
SE,Research Scientist,370000,US,US,M
SE,Research Scientist,200000,US,US,M
SE,Data Scientist,235000,US,US,M
SE,Data Scientist,185000,US,US,M
MI,Machine Learning Engineer,121523,GB,GB,M
MI,Machine Learning Engineer,97218,GB,GB,M
SE,Data Scientist,216100,US,US,M
SE,Data Scientist,140800,US,US,M
MI,Machine Learning Engineer,145828,GB,GB,M
MI,Machine Learning Engineer,121523,GB,GB,M
SE,Computer Vision Software Engineer,53654,NL,CA,L
EN,Data Scientist,110000,US,US,S
SE,Data Engineer,128000,US,US,M
SE,Data Engineer,81500,US,US,M
MI,Data Engineer,66837,GB,GB,M
MI,Data Engineer,63192,GB,GB,M
MI,Data Analyst,60761,GB,GB,M
MI,Data Analyst,54685,GB,GB,M
EX,Data Engineer,284000,US,US,M
EX,Data Engineer,236000,US,US,M
SE,Research Scientist,248100,CA,CA,M
SE,Research Scientist,145900,CA,CA,M
SE,Research Engineer,155850,US,US,M
SE,Research Engineer,102544,US,US,M
MI,Data Scientist,151410,US,US,M
MI,Data Scientist,115360,US,US,M
MI,Data Engineer,66531,ES,ES,M
MI,Data Engineer,59020,ES,ES,M
SE,Director of Data Science,125686,CA,CA,M
SE,Azure Data Engineer,100000,NL,NL,L
EN,Data Scientist,12767,IN,IN,L
SE,Data Scientist,250000,US,US,M
SE,Data Scientist,162500,US,US,M
SE,Data Scientist,185000,GB,GB,M
SE,Data Scientist,120250,GB,GB,M
EN,Data Engineer,26827,DE,DE,L
EN,Data Scientist,180000,US,US,M
MI,Research Scientist,85000,US,US,M
MI,Research Scientist,70000,US,US,M
SE,BI Developer,135000,US,US,M
SE,BI Developer,100000,US,US,M
EX,Data Analytics Manager,155000,US,US,M
EX,Data Analytics Manager,140000,US,US,M
SE,Machine Learning Engineer,204500,US,US,M
SE,Machine Learning Engineer,142200,US,US,M
SE,Data Engineer,226700,US,US,M
SE,Data Engineer,133300,US,US,M
SE,Data Scientist,225000,US,US,M
SE,Data Scientist,156400,US,US,M
SE,Data Engineer,163800,US,US,M
SE,Data Engineer,126000,US,US,M
SE,Machine Learning Engineer,163800,US,US,M
SE,Machine Learning Engineer,126000,US,US,M
SE,ML Engineer,220000,US,US,M
SE,ML Engineer,150000,US,US,M
SE,Data Engineer,145000,US,US,M
SE,Data Engineer,115000,US,US,M
SE,Data Analytics Manager,204500,US,US,M
SE,Data Analytics Manager,138900,US,US,M
MI,Data Engineer,162500,US,US,M
MI,Data Engineer,130000,US,US,M
SE,Data Engineer,150000,US,US,M
SE,Data Engineer,107000,US,US,M
EX,Data Engineer,175000,US,US,M
EX,Data Engineer,110000,US,US,M
SE,Data Engineer,226700,US,US,M
SE,Data Engineer,133300,US,US,M
SE,Data Engineer,252000,US,US,M
SE,Data Engineer,129000,US,US,M
SE,Machine Learning Engineer,150000,US,US,M
SE,Machine Learning Engineer,125000,US,US,M
SE,Data Engineer,252000,US,US,M
SE,Data Engineer,129000,US,US,M
SE,Data Scientist,225000,US,US,M
SE,Data Scientist,156400,US,US,M
MI,Research Scientist,23000,IN,IN,L
MI,Machine Learning Engineer,110000,US,US,L
SE,Data Engineer,265000,US,US,M
SE,Data Engineer,182750,US,US,M
MI,Data Analyst,130000,US,US,M
MI,Data Analyst,100000,US,US,M
SE,Data Analyst,153600,US,US,M
SE,Data Analyst,106800,US,US,M
SE,Data Engineer,137500,US,US,M
